ts;status_ein;regel;modus;blocking;pv_w;soc;feedin_w;forecast_morgen_whqm;soll_c;unten;oben;mittig
2026-09-08 06:12:08;AUS;;Keine Regel aktiv;;;;;;;24.6;48.2;42.4
2026-09-08 06:17:13;AUS;;Keine Regel aktiv;;;;;;;24.7;48.2;42.4
2026-09-08 06:22:22;AUS;;Keine Regel aktiv;;;;;;;24.7;48.2;42.3
2026-09-08 06:27:27;AUS;;Keine Regel aktiv;;;;;;;24.7;48.1;42.4
2026-09-08 06:32:36;AUS;;Keine Regel aktiv;;;;;;;24.7;48.1;42.2
2026-09-08 06:37:44;AUS;;Keine Regel aktiv;;;;;;;24.8;48.1;42.2
2026-09-08 06:42:49;AUS;;Keine Regel aktiv;;;;;;;24.8;48.1;42.2
2026-09-08 06:47:58;AUS;;Keine Regel aktiv;;;;;;;24.8;48.1;42.2
2026-09-08 06:53:03;AUS;;Keine Regel aktiv;;;;;;;24.8;48.1;42.1
2026-09-08 06:58:12;AUS;;Keine Regel aktiv;;;;;;;24.8;48.1;42.1
2026-09-08 07:03:19;AUS;;Keine Regel aktiv;;;;;;;24.8;48.1;42.1
2026-09-08 07:08:27;AUS;;Keine Regel aktiv;;;;;;;24.8;48.1;42.1
2026-09-08 07:13:33;AUS;;Keine Regel aktiv;;;;;;;24.8;48.0;42.1
2026-09-08 07:18:42;AUS;;Keine Regel aktiv;;;;;;;24.9;48.0;42.1
2026-09-08 07:23:51;AUS;;Keine Regel aktiv;;;;;;;24.9;48.0;42.0
2026-09-08 07:29:00;AUS;;Keine Regel aktiv;;;;;;;24.9;48.0;41.9
2026-09-08 07:34:09;AUS;;Keine Regel aktiv;;;;;;;24.8;48.0;41.9
2026-09-08 07:39:18;AUS;;Keine Regel aktiv;;;;;;;24.9;47.9;41.9
2026-09-08 07:44:25;AUS;;Keine Regel aktiv;;;;;;;24.9;47.9;41.9
2026-09-08 07:49:33;AUS;;Keine Regel aktiv;;;;;;;24.9;47.9;41.9
2026-09-08 07:54:41;AUS;;Keine Regel aktiv;;;;;;;24.9;47.9;41.9
2026-09-08 07:59:48;AUS;;Keine Regel aktiv;;;;;;;24.9;47.9;41.8
2026-09-08 08:04:56;EIN;Abweichung;Abweichung;;0.0;70.0;0.0;;44.0;25.8;47.9;41.8
2026-09-08 08:10:05;EIN;Abweichung;Abweichung;;0.0;71.0;0.0;;44.0;28.2;47.9;41.8
2026-09-08 08:15:10;EIN;Abweichung;Abweichung;;0.0;71.0;0.0;;44.0;30.3;47.9;41.8
2026-09-08 08:20:18;EIN;Abweichung;Abweichung;;0.0;72.0;0.0;;44.0;32.2;47.9;41.7
2026-09-08 08:25:23;EIN;Abweichung;Abweichung;;0.0;74.0;0.0;;44.0;33.8;47.9;41.6
2026-09-08 08:30:31;EIN;Abweichung;Abweichung;;0.0;75.0;0.0;;44.0;35.2;47.8;41.6
