ts;code;level;detail
2026-09-08 06:19:25;FORECAST;2026-09-08;5.34/2.10
2026-09-08 08:00:15;CYCLE_START_WE;Abweichung;
2026-09-08 08:47:00;CYCLE_END_WE;Keine Regel aktiv;
2026-09-08 08:58:45;CYCLE_START_WE;Abweichung;
2026-09-08 09:00:19;CYCLE_END_WE;Keine Regel aktiv;
2026-09-08 09:15:01;CYCLE_END_WE;Komfort;
2026-09-08 09:20:37;CYCLE_END_WE;Keine Regel aktiv;
2026-09-08 09:21:59;CYCLE_START_WE;AdaptivePV;
2026-09-08 09:32:13;WARN_ZU_FRUEH;WARNING;Learning: ZU FRUEH geheizt - 45 min nach Nicht-PV-Zyklus (2026-09-08T08:47:10.782423) kommen 2940W Einspeisung
2026-09-08 09:59:24;WARN_ZU_FRUEH;WARNING;Learning: ZU FRUEH geheizt - 45 min nach Nicht-PV-Zyklus (2026-09-08T09:14:10.805462) kommen 3857W Einspeisung
2026-09-08 10:39:51;CYCLE_END_WE;Batterie;
2026-09-08 10:47:25;CYCLE_END_WE;Komfort;
2026-09-08 11:08:24;CYCLE_START_WE;AdaptivePV;
2026-09-08 11:19:46;CYCLE_START_WE;Einspeisung;
2026-09-08 11:40:14;CYCLE_START_WE;AdaptivePV;
2026-09-08 11:50:27;CYCLE_START_WE;Einspeisung;
2026-09-08 12:16:03;CYCLE_START_WE;AdaptivePV;
2026-09-08 12:19:36;FORECAST;2026-09-08;5.31/3.38
2026-09-08 12:20:17;CYCLE_END_WE;Einspeisung;
2026-09-08 13:22:40;CYCLE_END_WE;Batterie;
2026-09-08 13:24:53;CYCLE_END_WE;Komfort;
2026-09-08 13:27:48;CYCLE_START_WE;Einspeisung;
2026-09-08 13:54:49;CYCLE_END_WE;Batterie;
2026-09-08 14:06:23;CYCLE_END_WE;Komfort;
2026-09-08 14:08:50;CYCLE_START_WE;Einspeisung;
2026-09-08 14:30:42;WARN_BOILERMAX;WARNING;BOILERMAX AUS: unten 49.0C >= 49.0C - Mindestlaufzeit gebrochen, Freigabe erst <= 47.0C
2026-09-08 15:20:39;CYCLE_END_WE;Komfort;
2026-09-08 15:58:48;CYCLE_START_WE;AdaptivePV;
2026-09-08 15:59:16;CYCLE_START_WE;Einspeisung;
2026-09-08 16:01:45;CYCLE_START_WE;AdaptivePV;
2026-09-08 16:07:31;CYCLE_END_WE;Einspeisung;
2026-09-08 16:29:59;CYCLE_END_WE;Batterie;
2026-09-08 16:48:54;CYCLE_END_WE;Komfort;
2026-09-08 17:48:15;CYCLE_START_WE;AdaptivePV;
2026-09-08 17:57:26;CYCLE_END_WE;Einspeisung;
2026-09-08 18:19:34;CYCLE_END_WE;Batterie;
2026-09-08 18:19:47;FORECAST;2026-09-08;5.30/2.46
2026-09-08 18:40:06;CYCLE_END_WE;Komfort;
2026-09-08 19:00:15;CYCLE_END_WE;Abweichung;
2026-09-08 19:16:01;CYCLE_END_WE;Keine Regel aktiv;
2026-09-09 00:19:54;FORECAST;2026-09-09;2.83/0.64
2026-09-09 06:20:01;FORECAST;2026-09-09;3.34/0.57
2026-09-09 08:00:18;CYCLE_START_WE;Abweichung;
2026-09-09 08:26:00;CYCLE_END_WE;Keine Regel aktiv;
2026-09-09 08:26:00;WARN_LCD;WARNING;LCD Schreibfehler (Versuch 1/3): [Errno 5] Input/output error
2026-09-09 08:43:11;CYCLE_START_WE;Abweichung;
2026-09-09 08:44:15;CYCLE_END_WE;Keine Regel aktiv;
2026-09-09 08:57:39;CYCLE_END_WE;Komfort;
2026-09-09 09:10:35;CYCLE_END_WE;Keine Regel aktiv;
2026-09-09 10:14:19;CYCLE_START_WE;Abweichung;
2026-09-09 10:15:00;CYCLE_END_WE;Keine Regel aktiv;
2026-09-09 10:21:54;CYCLE_END_WE;Komfort;
2026-09-09 11:14:53;CYCLE_END_WE;Keine Regel aktiv;
2026-09-09 11:20:39;CYCLE_START_WE;Forecast;
2026-09-09 11:23:59;CYCLE_END_WE;Komfort;
2026-09-09 11:52:40;CYCLE_END_WE;Keine Regel aktiv;
2026-09-09 12:20:04;FORECAST;2026-09-09;2.37/0.58
2026-09-09 13:10:55;CYCLE_START_WE;Abweichung;
2026-09-09 13:11:22;CYCLE_START_WE;Batterie;
2026-09-09 13:23:35;CYCLE_START_WE;AdaptivePV;
2026-09-09 13:33:52;CYCLE_START_WE;Batterie;
2026-09-09 13:44:57;CYCLE_END_WE;Komfort;
2026-09-09 14:24:39;WARN_ZU_FRUEH;WARNING;Learning: ZU FRUEH geheizt - 45 min nach Nicht-PV-Zyklus (2026-09-09T13:39:38.875970) kommen 1852W Einspeisung
2026-09-09 14:26:44;ERR_SENSOR;ERROR;Sensor 28-445bd44686f4: Zu wenige Zeilen in w1_slave (0)
2026-09-09 14:26:56;CYCLE_START_WE;AdaptivePV;
2026-09-09 14:42:18;CYCLE_END_WE;Batterie;
2026-09-09 15:02:21;CYCLE_END_WE;Komfort;
2026-09-09 15:06:08;CYCLE_START_WE;Einspeisung;
2026-09-09 15:16:21;CYCLE_END_WE;Komfort;
2026-09-09 16:01:23;CYCLE_START_WE;AdaptivePV;
2026-09-09 16:02:32;CYCLE_START_WE;Einspeisung;
2026-09-09 16:12:50;CYCLE_START_WE;AdaptivePV;
2026-09-09 16:15:16;CYCLE_END_WE;Einspeisung;
2026-09-09 16:22:13;CYCLE_END_WE;Batterie;
2026-09-09 16:46:31;CYCLE_END_WE;Komfort;
2026-09-09 18:04:24;CYCLE_START_WE;AdaptivePV;
2026-09-09 18:10:54;CYCLE_START_WE;Batterie;
2026-09-09 18:16:14;CYCLE_END_WE;Einspeisung;
2026-09-09 18:20:01;CYCLE_END_WE;Batterie;
2026-09-09 18:20:16;FORECAST;2026-09-09;2.02/0.61
2026-09-09 18:46:08;CYCLE_END_WE;Komfort;
2026-09-09 19:00:10;CYCLE_END_WE;Keine Regel aktiv;
2026-09-09 21:36:08;WARN_CALCSTART_NACHSPERRE;WARNING;CalcStart-Hinweis: CalcStart-Vorheizen wird um 19:00 Uhr von der Nachtsperre abgeschnitten (Zielzeit 19.21:00 wird nicht voll erreicht)
2026-09-09 21:36:35;WARN_CALCSTART_NACHSPERRE;WARNING;CalcStart-Hinweis: CalcStart-Vorheizen wird um 19:00 Uhr von der Nachtsperre abgeschnitten (Zielzeit 19.57:00 wird nicht voll erreicht)
2026-09-10 00:20:22;FORECAST;2026-09-10;0.59/0.66
