tag;start;regel;quelle;netzbezug_w;forecast_today
2026-09-08;08:00;Abweichung;netz;;5.34
2026-09-08;08:58;Abweichung;netz;;5.34
2026-09-08;09:21;AdaptivePV;pv;;5.34
2026-09-08;11:08;AdaptivePV;pv;;5.34
2026-09-09;08:00;Abweichung;netz;;2.83
2026-09-09;08:43;Abweichung;netz;;2.83
2026-09-09;10:14;Abweichung;netz;;2.83
2026-09-09;11:20;Forecast;netz;;2.83
2026-09-10;08:00;Abweichung;netz;;0.59
2026-09-10;08:48;Abweichung;netz;;0.59
2026-09-10;10:50;Abweichung;netz;;0.59
2026-09-11;08:00;Legionellen;netz;;2.15
2026-09-11;08:56;Legionellen;netz;;2.15
2026-09-11;09:18;Legionellen;netz;;2.15
2026-09-12;09:00;Abweichung;netz;;5.25
2026-09-12;09:27;Abweichung;netz;;5.25
2026-09-12;10:57;AdaptivePV;pv;;5.25
2026-09-12;11:36;AdaptivePV;pv;;5.25
2026-09-13;10:12;AdaptivePV;pv;;4.66
2026-09-13;11:53;AdaptivePV;pv;;4.66
2026-09-14;08:00;Abweichung;netz;;3.36
2026-09-14;10:06;Abweichung;netz;;3.36
2026-09-14;10:34;AdaptivePV;pv;;3.36
