start;ende;dauer_min;quelle;start_regel;end_grund;start_unten;max_unten;ueberschreitung_k;start_verd
2026-09-08 08:00:15;2026-09-08 08:47:00;46.8;netz;Abweichung;keine_regel;24.937;39.4;0.0;20.75
2026-09-08 08:58:45;2026-09-08 09:13:57;15.2;netz;Abweichung;unbekannt;39.062;42.1;0.0;19.187
2026-09-08 09:21:59;2026-09-08 10:39:27;77.5;pv;AdaptivePV;unbekannt;41.062;47.6;0.0;20.375
2026-09-08 11:08:24;2026-09-08 11:56:30;48.1;pv;AdaptivePV;unbekannt;44.875;48.0;0.0;20.437
2026-09-08 12:12:03;2026-09-08 12:22:06;10.1;pv;Einspeisung;regel:Einspeisung;45.875;48.5;0.0;20.5
2026-09-08 12:39:40;2026-09-08 13:07:58;28.3;pv;AdaptivePV;unbekannt;45.5;48.2;0.0;20.812
2026-09-08 13:33:21;2026-09-08 13:43:22;10.0;pv;Einspeisung;regel:Einspeisung;45.937;48.6;0.1;20.375
2026-09-08 14:21:20;2026-09-08 14:30:42;9.4;pv;Einspeisung;boiler_max;45.937;49.1;0.6;21.375
2026-09-08 15:58:48;2026-09-08 16:08:52;10.1;pv;AdaptivePV;regel:Einspeisung;44.937;49.0;0.5;22.812
2026-09-08 17:48:15;2026-09-08 17:58:21;10.1;pv;AdaptivePV;regel:Einspeisung;44.937;48.8;0.3;23.187
2026-09-09 08:00:18;2026-09-09 08:26:00;25.7;netz;Abweichung;keine_regel;29.5;39.7;0.0;21.187
2026-09-09 08:43:11;2026-09-09 08:58:19;15.1;netz;Abweichung;regel:Komfort;39.062;42.6;0.0;18.687
2026-09-09 10:14:19;2026-09-09 10:29:28;15.1;netz;Abweichung;unbekannt;39.062;44.4;0.0;21.75
2026-09-09 11:20:39;2026-09-09 11:35:47;15.1;netz;Forecast;regel:Komfort;41.187;45.8;0.0;21.375
2026-09-09 13:10:55;2026-09-09 13:39:25;28.5;netz;Abweichung;unbekannt;39.062;47.0;0.0;22.312
2026-09-09 14:26:56;2026-09-09 14:41:54;14.9;pv;AdaptivePV;unbekannt;44.937;47.8;0.0;21.625
2026-09-09 16:01:23;2026-09-09 16:15:16;13.9;pv;AdaptivePV;wechsel:Einspeisung;44.937;48.1;0.0;22.5
2026-09-09 18:04:24;2026-09-09 18:14:27;10.1;pv;AdaptivePV;unbekannt;44.937;47.9;0.0;23.062
2026-09-10 08:00:20;2026-09-10 08:34:31;34.2;netz;Abweichung;keine_regel;27.937;39.6;0.0;21.125
2026-09-10 08:48:45;2026-09-10 09:03:47;15.0;netz;Abweichung;regel:Komfort;39.062;42.6;0.0;19.187
2026-09-10 10:50:53;2026-09-10 11:06:04;15.2;netz;Abweichung;unbekannt;39.062;44.1;0.0;21.937
2026-09-10 15:22:16;2026-09-10 16:13:34;51.3;pv;AdaptivePV;unbekannt;39.125;47.1;0.0;22.125
2026-09-11 08:00:23;2026-09-11 08:53:49;53.4;netz;Legionellen;unbekannt;39.25;47.2;0.0;21.812
2026-09-11 08:56:55;2026-09-11 09:08:03;11.1;netz;Legionellen;verifizierung_fehler;47.25;47.4;0.0;20.25
2026-09-11 09:18:04;2026-09-11 12:00:26;162.4;netz;Legionellen;legionellen_timeout;47.25;57.2;8.7;22.312
2026-09-12 09:00:17;2026-09-12 09:15:52;15.6;netz;Abweichung;keine_regel;32.937;40.0;0.0;21.437
2026-09-12 09:27:13;2026-09-12 10:03:07;35.9;netz;Abweichung;unbekannt;38.937;48.3;0.0;21.437
2026-09-12 10:57:27;2026-09-12 11:07:28;10.0;pv;AdaptivePV;regel:Einspeisung;44.812;48.6;0.1;21.812
2026-09-12 11:36:38;2026-09-12 11:47:45;11.1;pv;AdaptivePV;wechsel:Einspeisung;44.75;48.2;0.0;21.25
2026-09-12 12:02:54;2026-09-12 12:18:43;15.8;pv;Einspeisung;unbekannt;41.625;48.3;0.0;21.187
2026-09-12 12:44:20;2026-09-12 12:54:24;10.1;pv;AdaptivePV;unbekannt;44.937;49.0;0.5;20.875
2026-09-12 13:05:31;2026-09-12 13:23:20;17.8;pv;Einspeisung;unbekannt;45.937;48.6;0.1;22.125
2026-09-12 13:26:55;2026-09-12 13:39:51;12.9;pv;Einspeisung;unbekannt;45.937;48.3;0.0;20.5
2026-09-12 14:09:55;2026-09-12 14:17:44;7.8;pv;Einspeisung;boiler_max;45.937;49.5;1.0;20.625
2026-09-12 14:54:58;2026-09-12 15:02:32;7.6;pv;Einspeisung;regel:Einspeisung;45.937;49.6;1.1;21.625
2026-09-12 16:21:21;2026-09-12 16:31:25;10.1;pv;AdaptivePV;regel:Einspeisung;44.812;49.5;1.0;22.75
2026-09-12 17:45:28;2026-09-12 17:55:32;10.1;pv;AdaptivePV;regel:Batterie;44.875;47.9;0.0;22.875
2026-09-12 18:01:04;2026-09-12 18:13:29;12.4;pv;AdaptivePV;wechsel:Einspeisung;44.437;49.1;0.6;22.562
2026-09-12 18:56:52;2026-09-13 10:02:32;62.3;pv;AdaptivePV;keine_regel;44.25;44.8;0.0;22.062
2026-09-13 10:12:59;2026-09-13 11:18:01;65.0;pv;AdaptivePV;unbekannt;39.625;48.1;0.0;18.875
2026-09-13 11:53:58;2026-09-13 12:11:35;17.6;pv;AdaptivePV;unbekannt;44.937;47.9;0.0;20.937
2026-09-13 12:26:44;2026-09-13 12:50:49;24.1;pv;AdaptivePV;unbekannt;39.937;48.1;0.0;20.75
2026-09-13 13:20:03;2026-09-13 13:30:04;10.0;pv;AdaptivePV;unbekannt;45.937;48.8;0.3;20.5
2026-09-13 14:15:46;2026-09-13 14:21:47;6.0;pv;AdaptivePV;unbekannt;45.937;48.4;0.0;21.75
2026-09-13 15:11:54;2026-09-13 15:21:56;10.0;pv;Einspeisung;unbekannt;45.937;49.1;0.6;22.125
2026-09-13 17:18:33;2026-09-13 17:28:51;10.3;pv;AdaptivePV;wechsel:Batterie;44.937;47.2;0.0;23.062
2026-09-13 17:54:32;2026-09-13 18:05:41;11.1;pv;AdaptivePV;wechsel:Einspeisung;43.625;47.7;0.0;21.375
2026-09-13 18:18:39;2026-09-13 19:00:03;41.4;pv;AdaptivePV;keine_regel;23.437;26.1;0.0;20.125
2026-09-14 08:00:17;2026-09-14 10:00:48;120.5;netz;Abweichung;keine_regel;22.437;36.2;0.0;20.312
2026-09-14 10:06:10;2026-09-14 10:21:18;15.1;netz;Abweichung;unbekannt;35.937;36.8;0.0;17.5
2026-09-14 10:34:01;2026-09-14 13:43:56;189.9;pv;AdaptivePV;unbekannt;36.25;47.9;0.0;17.687
2026-09-14 14:27:07;2026-09-14 14:37:10;10.1;pv;Einspeisung;regel:Einspeisung;45.937;47.8;0.0;20.625
